C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Username,Bid,Tricks
5C,AC,4D,6C,QS,JH,AH,KH,TC,9D,Jrb,7H,9
9H,5S,6S,AS,4S,5D,7S,TD,QC,KS,Mike,7N,7
8S,AD,QH,4C,AH,6H,9H,9D,7D,AS,Mike,7N,6
TH,AC,8H,4C,5D,4D,JC,5S,AS,JH,Mike,Nl,0
9D,4D,JD,5C,4C,8C,4H,6D,JS,6H,jrb,9D,9
JD,QC,8H,AH,QS,4C,5S,KS,5H,KH,Becky,7H,8
6D,JD,9H,5D,TD,JS,JH,KS,QS,8S,Mike,8D,9
QD,TC,7C,JJ,KH,6C,KD,AH,6H,6S,jrb,7N,7
JS,6D,5D,QS,8H,TS,8C,QD,6S,5S,John P,Nd,0
JJ,8H,JD,7D,7C,AH,7H,9D,AS,KC,jrb,7N,9
QH,6C,7C,7D,9C,JC,QS,AD,TD,AC,Mike,7C,8
JH,6S,6H,TS,AH,7C,TH,9H,QC,8C,jrb,8H,6
7C,4C,4S,6S,8S,5D,KD,6H,5S,AC,John P,No,0
6H,7C,9C,JJ,4D,KC,9S,JC,5D,KS,John P,7C,8
AH,AD,5D,QC,6H,JD,JH,7D,AS,4C,jrb,8D,9
JJ,8C,9D,4C,6D,TC,KH,JD,6H,7H,John P,6H,7
7S,6S,JD,7C,TC,7H,8S,KH,5S,4C,Becky,Nd,0
TS,4S,5H,8C,9D,6H,7S,TC,7C,QD,jrb,No,1
TS,4D,7H,JD,JJ,AD,5D,JS,TD,5S,Becky,7D,8
KC,AH,4H,5D,8H,5H,AD,JH,JJ,4D,Mike,8H,8
6H,5H,8H,KS,9H,4D,8S,TC,AH,JS,John P,Nd,0
9D,7C,TH,9C,QH,JJ,4D,8S,5H,7D,Mike,Nl,7
JD,7D,TS,JC,6C,QH,8D,7S,AH,KH,jrb,7H,7
JC,JS,9H,8C,QS,KS,7H,AC,5C,5S,Mike,8C,10
AH,TH,5H,4C,4D,8H,JJ,6H,8S,KH,John P,No,0
9H,JD,TS,AD,5H,KD,QS,5C,8S,KH,Mike,8H,9
JJ,TC,AH,9D,6D,QH,QS,9H,9C,JS,John P,7S,6
7C,AC,5C,8D,4D,KS,8H,9D,KC,4H,Mike,Nd,4
6H,8S,TH,5S,9S,4S,6D,9H,QS,4D,John P,Nd,0
JD,5D,9D,4H,9C,7D,5C,AC,6D,8C,Becky,Nl,1
JS,KH,QH,9D,4D,8D,JJ,7S,9C,TS,Mike,7H,5
4S,KC,QH,5C,QD,QS,5D,TH,JJ,6H,Becky,8H,7
5D,6C,4H,JH,KS,7D,JD,QS,TD,AD,Becky,8D,10
7S,KD,5C,QC,8S,6S,KC,5S,9S,QD,jrb,Nl,0
4D,JS,6S,4C,AS,AH,7S,4S,JC,KD,jrb,8S,8
KS,6D,AC,8D,JH,QH,9C,7C,JC,JD,John P,8D,8
5H,7H,KC,AD,AH,7D,8D,QH,JH,AS,John P,9H,7
TH,JD,8D,8H,AC,6H,TS,8C,7D,4S,jrb,7H,5
KS,6S,KD,TC,5C,7S,JH,JD,4S,AD,John P,7D,10
AC,JH,6H,QH,AH,4S,JD,TS,4C,7D,Mike,8H,9
KC,QD,TS,QC,TD,JJ,5S,8S,7C,QS,jrb,8N,10
KS,9H,9C,4D,7C,TS,JD,TC,4S,TH,Mike,7D,7
8C,QD,8H,7D,7H,KH,8D,AD,AH,6C,Becky,8D,7
8D,9S,TS,JJ,9C,QC,6C,4S,JS,KH,John P,Nd,1
6S,KD,4H,6D,AD,7D,JC,5S,4S,AC,John P,No,0
QH,6S,6C,4D,9D,5S,KS,4S,5C,5H,Becky,Nl,1
7C,5H,6D,5C,6C,9D,8C,4S,QS,QD,jrb,Nl,0
4S,9S,5C,8H,6D,7H,QC,4C,TC,QD,Becky,Nl,0
8S,KS,8H,TS,6S,5H,JS,5D,7S,JC,jrb,8S,10
8S,7C,8D,5D,AS,KS,4C,KH,AC,4S,Becky,8N,6
AC,6D,KC,QC,TC,8S,8H,4D,AD,4C,Mike,7N,7
TD,9H,AC,TH,4C,AS,4H,6D,JD,QD,jrb,9D,8
8S,5H,AD,KD,QD,9D,4C,7C,7D,5S,John P,Nd,4
JS,TS,AC,KH,4D,QC,6S,8S,TD,7S,Mike,7S,8
TD,9C,JH,6S,JD,5C,TH,KH,6H,4S,Becky,7D,8
KC,5S,TC,8C,4C,QH,7S,9H,AH,4D,John P,Nd,3
5S,JD,QS,TH,TD,KC,7C,6H,JJ,8S,John P,8H,6
KS,6D,5S,QC,AS,7S,9S,5H,TS,TD,Becky,Nd,0
8S,AD,TD,9D,5D,QD,4S,7C,JH,6C,Mike,7D,7
KC,8S,6C,AC,8H,7H,4C,4H,JH,6D,John P,Nl,0
4D,QS,TD,TH,7D,KS,7H,JH,AD,9H,jrb,8H,5
KH,JJ,4D,5S,7C,QD,8S,4H,TS,AD,Becky,Nl,1
9S,9H,5S,5D,8C,KH,KS,6C,TC,4S,Becky,Nd,6
JS,8S,5H,6C,TH,4S,8H,5S,TS,JD,Mike,No,0
QC,KS,9H,6C,JH,9D,TC,TS,QH,5S,Mike,7D,4
TD,KS,QD,4C,4D,AH,QS,KH,JS,AS,Becky,8S,8
AH,QC,KH,JJ,6D,KD,AS,4S,6H,7C,John P,7N,10
5S,9C,8C,6D,4C,4S,TS,AC,JC,TC,Mike,9C,5
AH,7S,4H,9C,8C,6H,JH,TH,7D,7C,Mike,7H,6
KD,5C,JC,4H,TC,QD,8C,AD,JJ,AS,John P,8C,10
4S,9C,AD,QD,QS,6H,4H,TC,6D,QH,Mike,Nl,0
QC,4D,7D,9S,6C,6S,7H,7S,KC,4H,Becky,Nd,3
6C,KH,4D,JD,AH,9H,TD,QD,4H,4C,Becky,8H,9
5C,6C,8S,4S,4H,AD,JD,AC,6D,5S,John P,No,0
JD,4C,4S,9C,JJ,KS,5C,KH,JS,6H,jrb,7S,10
7H,QC,5S,JC,6S,8C,TC,7S,KS,AC,Becky,8C,7
JH,JJ,JS,KS,4S,4C,TC,5S,8C,QH,Mike,7S,6
7C,8D,JD,KD,AH,6D,KH,7D,9D,5S,Becky,7D,10
KD,JJ,5C,AS,6C,KC,AH,JD,8D,JC,Mike,7C,8
KC,AS,7D,8H,6S,7S,4D,AH,5D,5H,jrb,Nl,1
JS,9S,QS,QD,JJ,8C,KS,AH,TD,AC,John P,8C,8
4C,AD,JH,6C,QD,KS,QH,TH,4H,7H,Becky,8H,10
7S,7D,4C,8H,JS,6C,TS,9C,8D,KS,Mike,Nl,0
4D,4H,9C,KS,6H,AS,4S,5S,JJ,KH,Becky,Nd,0
TS,5C,5S,TH,JJ,7S,JH,KS,AS,7D,Mike,7N,8
KD,TC,8S,KC,AC,7C,8H,TS,QD,8C,JRB,8N,5
5H,6H,QD,QC,6S,5D,7C,5S,4H,4C,Becky,No,0
JJ,QS,5C,KC,5D,6S,JC,9C,7H,4S,Becky,7C,9
6C,AH,KH,JS,7S,TH,TS,9H,8H,9D,Mike,7N,4
4C,QC,TH,KC,QS,7C,8H,8D,4D,JC,Becky,7C,7
6S,KS,AD,7D,AC,5S,7S,9C,6H,AH,John P,8S,9
5D,5C,4D,JJ,AH,7S,9D,6H,8D,8H,JRB,Nl,0
QH,TS,9D,AD,AS,9S,8H,KD,JH,TD,jrb,8D,7
8H,AC,QC,QD,4C,KS,6C,8C,AS,8D,Zach,7N,9
JJ,TH,7S,QC,QD,AH,JC,8D,7H,JS,jrb,8C,7
TH,7D,5H,JH,6C,9D,JS,5S,7S,KH,Zach,8H,9
KH,8D,TH,4H,QS,8H,6H,7H,7D,QC,John P,Nl,0
8D,8H,JC,JD,4S,5S,KD,AC,JJ,TH,Mike,8C,9
8D,KH,7S,TS,9S,9H,4H,AD,8H,4S,Becky,Nl,0
8H,JC,6H,AH,KC,5H,TC,TH,AS,4H,jrb,7H,6
9H,TS,8H,6C,TH,QH,8D,5H,TD,JJ,John P,8H,9
4C,AS,QS,TH,9H,7D,QD,KH,JC,KS,jrb,8N,7
7C,6D,AH,TS,KD,8D,TD,5D,4S,8S,Becky,6D,7
TC,5C,8H,TD,KH,KC,JJ,AH,6D,4S,Mike,8N,10
5S,JD,5D,QS,8S,4D,5C,TD,4H,KC,John P,No,0
JH,JD,4D,5D,7D,8D,QH,AC,QS,5S,Zach,8D,8
TD,5H,9C,JH,5S,4C,QD,8S,QC,AC,Zach,9C,10
7H,TC,JH,5H,AH,AD,JD,9S,AC,7S,John P,8H,9
QS,QH,KC,QD,KD,4C,JS,8H,JJ,TS,Zach,8S,4
AC,KS,JC,AH,8C,4H,TC,5C,AS,AD,Mike,8C,9
JD,AS,7D,QC,AD,4C,5S,TD,TS,JJ,Mike,8D,8
9C,6S,7D,5D,9D,JD,8H,JC,4D,JJ,John P,8D,8
AD,TS,KH,JS,6S,8S,8H,KD,JC,9S,Mike,8S,7
JD,8D,AD,JJ,7S,7C,9C,KD,QS,AH,Zach,7N,9
7C,AH,AS,4D,8C,TS,QS,9S,6S,5H,Mike,No,5
9H,5D,AH,4D,9C,TH,6H,5S,5C,5H,jrb,No,0
4H,TC,6S,9D,8H,QD,4D,9C,TD,5C,John P,7D,5
JC,4S,JS,9C,7H,7S,QH,9S,8S,8C,Mike,8S,6
4H,7D,KD,9S,8H,9D,6D,JJ,9C,TC,Mike,TN,7
JS,TC,KD,9H,6D,7D,TD,JC,6S,AH,Mike,7C,8
7H,QD,9H,5D,4C,6H,TH,KC,TD,9C,Becky,No,1
JJ,9C,9S,QC,TS,7D,5C,6H,QD,8H,John P,8H,8
JD,9C,4H,QH,AH,4S,AD,KC,5C,JJ,Mike,8H,8
TH,4D,4H,7S,KC,JH,TS,4S,QS,6H,Zach,No,0
8H,JJ,KD,JC,JD,TS,TD,AH,4D,9D,Zach,8D,10
6D,JC,KH,KS,KC,AS,9H,AC,QC,TD,Mike,7N,8
6S,9D,4C,6D,5H,JH,KC,7H,JD,7S,jrb,7D,10
6S,JS,TS,KC,TD,JJ,7S,AS,KH,8D,jrb,8S,8
TD,AH,6S,KH,6C,5C,KD,6H,9C,8C,Zach,Nd,1
8H,JJ,6C,7H,4C,6H,JH,TD,9H,KC,jrb,8H,7
8C,TC,QC,8S,4D,7S,9D,JC,9H,4S,jrb,7C,6
5C,7D,4H,KH,AC,JJ,5S,KS,9D,4D,Zach,No,0
4D,QS,AC,9H,5S,JH,KS,7H,KD,5C,John P,7H,8
7S,AS,7C,AC,JC,JD,AD,8D,TD,JJ,Mike,8D,10
6H,AD,7H,9S,4C,8C,QS,JH,9D,5H,jrb,7H,5
6D,AC,4H,JC,9C,9D,7H,TC,7D,JD,Mike,7H,7
8D,AH,6C,6S,5D,5H,8H,TD,JH,7C,Becky,Nl,0
6H,JH,TH,9H,6C,KD,AD,9C,5C,5D,Becky,7H,5
5S,JD,AS,KC,8S,4S,QC,8C,JH,KD,jrb,7H,4
8S,QH,JD,8H,KH,7S,TC,KD,6S,4C,jrb,7H,7
6H,5H,6D,8C,4D,5D,JC,TD,8S,QS,John P,9D,8
8D,TS,KS,TD,7H,QD,QH,JD,JJ,9D,John P,7D,9
TH,9H,8S,6S,4S,TC,6D,9S,KH,4H,Mike,Nd,1
5S,AC,7S,QH,JS,6D,6H,TD,TH,AH,Becky,8C,6
AD,4S,5S,TS,JH,QH,JJ,9C,JD,8H,Mike,7H,10
6C,7H,4D,QH,TD,4H,AH,9C,5S,4S,Becky,Nl,2
KS,4D,QH,9H,5S,7C,9S,6C,7H,4S,Mike,No,0
